id,ts,length,data,,,,,,,,,
1,7/19/2014 10:58,18,00FFFF22290A00010FFF1A7E06510017002A,,,,,,,,,00 FF FF 00 42 0A 00 01 0F CC 1D 3F 02 27 00 BD 01 6D 
2,7/19/2014 10:58,18,00FFFF22280A00010FE31A5C0646001B002C,,,,,,,,,
3,7/19/2014 10:58,18,00FFFF22270A00010F5C1A6806450017002B,,,,,,,,,First of all we analyze the header:
4,7/19/2014 10:58,18,00FFFF22250A00010FDE1A70062C0017002B,,,,,,,,,
5,7/19/2014 10:58,18,00FFFF22220A00010FA61A270668001A002E,,,,,,,,,00:    This byte indicates it is an AM message
6,7/19/2014 10:58,18,00FFFF22240A00010FD91A7E06380019002E,,,,,,,,,FF FF: These two bytes are the Destination address (FF FF indicates broadcast)
7,7/19/2014 10:58,18,00FFFF22230A00010FFF1A8B062400170030,,,,,,,,,"00 42: Source address, this indicates address of last mote before sink node. As this is a one hop application, it is also the Origin of the message"
8,7/19/2014 10:58,18,00FFFF22260A00010FFF1A78064A001A002D,,,,,,,,,0A:    Length in bytes of the payload. 0A indicates that the payload of the message is has 10 bytes
9,7/19/2014 10:59,18,00FFFF22290A00010FFF1A7E06570018002B,,,,,,,,,"00:    Group id, not used"
10,7/19/2014 10:59,18,00FFFF22280A00010FE01A59063E001A002B,,,,,,,,,"01:    Handler id, configurable, permits identifying the type of message received. In this case we know it corresponds to a TestCM5000_AM_ID message"
11,7/19/2014 10:59,18,00FFFF22270A00010F5E1A6806420017002C,,,,,,,,,
12,7/19/2014 10:59,18,00FFFF22250A00010FE01A7006490017002B,,,,,,,,,"And the rest of the message is the Payload, the actual data of the message."
13,7/19/2014 10:59,18,00FFFF22220A00010FA51A250660001A002F,,,,,,,,,
14,7/19/2014 10:59,18,00FFFF22240A00010FD71A7C063C0018002E,,,,,,,,,0F CC: Raw Voltage
15,7/19/2014 10:59,18,00FFFF22230A00010FFF1A89061D0017002D,,,,,,,,,1D 3F: Raw Temperature
16,7/19/2014 10:59,18,00FFFF22260A00010FFF1A7706440018002C,,,,,,,,,02 27: Raw Humidity
17,7/19/2014 10:59,18,00FFFF22290A00010FFF1A7C063700180029,,,,,,,,,00 BD: Raw Visible Light
18,7/19/2014 10:59,18,00FFFF22280A00010FE11A5906390019002B,,,,,,,,,01 6D: Raw Infrared Light 
19,7/19/2014 10:59,18,00FFFF22270A00010F5D1A66063B0018002A,,,,,,,,,
20,7/19/2014 10:59,18,00FFFF22250A00010FE01A6F061F00160029,,,,,,,,,
21,7/19/2014 10:59,18,00FFFF22220A00010FA51A23065B001A002C,,,,,,,,,
22,7/19/2014 10:59,18,00FFFF22240A00010FD71A7B062D0017002F,,,,,,,,,
23,7/19/2014 10:59,18,00FFFF22230A00010FFF1A8806160018002D,,,,,,,,,
24,7/19/2014 10:59,18,00FFFF22260A00010FFF1A75063C0019002B,,,,,,,,,
25,7/19/2014 10:59,18,00FFFF22290A00010FFF1A7B0638001A0028,,,,,,,,,
26,7/19/2014 10:59,18,00FFFF22280A00010FE01A59062F0019002B,,,,,,,,,
27,7/19/2014 10:59,18,00FFFF22270A00010F5D1A64062F00180029,,,,,,,,,
28,7/19/2014 10:59,18,00FFFF22250A00010FDE1A6E061A00170028,,,,,,,,,
29,7/19/2014 10:59,18,00FFFF22220A00010FA51A230652001A002C,,,,,,,,,
30,7/19/2014 10:59,18,00FFFF22240A00010FD81A7906230019002C,,,,,,,,,
31,7/19/2014 10:59,18,00FFFF22230A00010FFF1A86060C0018002C,,,,,,,,,
32,7/19/2014 10:59,18,00FFFF22260A00010FFF1A7306320019002B,,,,,,,,,
33,7/19/2014 10:59,18,00FFFF22290A00010FFF1A7B063900160026,,,,,,,,,
34,7/19/2014 10:59,18,00FFFF22280A00010FE01A5806310018002C,,,,,,,,,
