id,ts,length,data
1,2014-08-18 04:57:31,18,00FFFF00030A00010FFF235102F0043A0490
2,2014-08-18 04:57:45,18,00FFFF00050A00010FD8236A02E6047E04C7
3,2014-08-18 04:58:01,18,00FFFF00080A00010FFF22FB0308047D04C5
4,2014-08-18 05:00:26,18,00FFFF00020A00010FD3231E02EF046604B9
5,2014-08-18 05:00:30,18,00FFFF00010A00010FFF231A02F4046904B1
6,2014-08-18 05:01:17,18,00FFFF00040A00010FFF233302DB046C04BC
7,2014-08-18 05:02:06,18,00FFFF00070A00010FFF23FF02AC04DC0535
8,2014-08-18 05:02:13,18,00FFFF00090A00010FFF22CF0308049A04DB
9,2014-08-18 05:02:31,18,00FFFF00030A00010FFF2308030004460498
10,2014-08-18 05:02:45,18,00FFFF00050A00010FD923030302049404D7
11,2014-08-18 05:03:01,18,00FFFF00080A00010FFF229B0326049104DC
12,2014-08-18 05:05:26,18,00FFFF00020A00010FD5231702EC047304C4
13,2014-08-18 05:05:30,18,00FFFF00010A00010FFF233402E8047604BD
14,2014-08-18 05:06:17,18,00FFFF00040A00010FFF237002C5047404C5
15,2014-08-18 05:07:06,18,00FFFF00070A00010FFF24E9026E04A604F9
16,2014-08-18 05:07:13,18,00FFFF00090A00010FFF234902D8048F04D2
17,2014-08-18 05:07:31,18,00FFFF00030A00010FFF237502DE044E04A1
18,2014-08-18 05:07:45,18,00FFFF00050A00010FD823A102D0049604D9
19,2014-08-18 05:08:01,18,00FFFF00080A00010FFF234B02EB048904D5
20,2014-08-18 05:10:26,18,00FFFF00020A00010FD4239702C8046404B5
21,2014-08-18 05:10:30,18,00FFFF00010A00010FFF23AC02C8046604AE
22,2014-08-18 05:11:17,18,00FFFF00040A00010FFF23CA02B6046104B0
23,2014-08-18 05:12:06,18,00FFFF00070A00010FFF24720291049504E6
24,2014-08-18 05:12:13,18,00FFFF00090A00010FFF237F02D4048004C2
25,2014-08-18 05:12:31,18,00FFFF00030A00010FFF23CD02CC043C048E
26,2014-08-18 05:12:45,18,00FFFF00050A00010FD923D502C6047E04C1
27,2014-08-18 05:13:01,18,00FFFF00080A00010FFF236802E2047904C4
28,2014-08-18 05:15:26,18,00FFFF00020A00010FD523C902B2045B04AD
29,2014-08-18 05:15:30,18,00FFFF00010A00010FFF23F102B2045C04A5
30,2014-08-18 05:16:17,18,00FFFF00040A00010FFF23F802A2045904A8
31,2014-08-18 05:17:06,18,00FFFF00070A00010FFF2434029C049304E0
32,2014-08-18 05:17:13,18,00FFFF00090A00010FFF23BF02BA047004B6
33,2014-08-18 05:17:31,18,00FFFF00030A00010FFF23FB02B304230477
34,2014-08-18 05:17:45,18,00FFFF00050A00010FD823E802BA047204B6
35,2014-08-18 05:18:01,18,00FFFF00080A00010FFF23AA02CD046C04B8
36,2014-08-18 05:18:05,18,00FFFF00060A00010FA427B701D804C70526
37,2014-08-18 05:20:26,18,00FFFF00020A00010FD6241F02A50448049A
38,2014-08-18 05:20:30,18,00FFFF00010A00010FFF2454029904490492
39,2014-08-18 05:21:17,18,00FFFF00040A00010FFF2456028804430495
40,2014-08-18 05:22:06,18,00FFFF00070A00010FFF24C8026E049104D7
41,2014-08-18 05:22:13,18,00FFFF00090A00010FFF24330292045E04A3
42,2014-08-18 05:22:31,18,00FFFF00030A00010FFF246C02940409045F
43,2014-08-18 05:22:45,18,00FFFF00050A00010FD9247E0290046004A3
44,2014-08-18 05:23:01,18,00FFFF00080A00010FFF2440029A045C04A9
45,2014-08-18 05:25:26,18,00FFFF00020A00010FD5242A0290043E048F
46,2014-08-18 05:25:30,18,00FFFF00010A00010FFF24770286043E0487
47,2014-08-18 05:26:17,18,00FFFF00040A00010FFF246E02760439048A
48,2014-08-18 05:27:06,18,00FFFF00070A00010FFF25DC023004E80545
49,2014-08-18 05:27:13,18,00FFFF00090A00010FFF243B02920456049B
50,2014-08-18 05:27:31,18,00FFFF00030A00010FFF249D028403FE0455
51,2014-08-18 05:27:45,18,00FFFF00050A00010FD7247102900458049C
52,2014-08-18 05:28:01,18,00FFFF00080A00010FFF242402A6045F04AE
53,2014-08-18 05:30:26,18,00FFFF00020A00010FD4245D028A042D047D
54,2014-08-18 05:30:30,18,00FFFF00010A00010FFF24AC027E042D0476
55,2014-08-18 05:31:17,18,00FFFF00040A00010FFF2497026C042D047E
56,2014-08-18 05:32:06,18,00FFFF00070A00010FFF269F020804640535
57,2014-08-18 05:32:13,18,00FFFF00090A00010FFF2487027604500494


