id,ts,length,data
1,2014-10-05 02:35:45,18,00FFFF00040A00010FFF22B6052204D30523
2,2014-10-05 02:35:46,18,00FFFF00030A00010FFF1E83092004150490
3,2014-10-05 02:35:47,18,00FFFF00020A00010FE4232004E004CF0521
4,2014-10-05 02:35:56,18,00FFFF00090A00010FFF224C058404EB052E
5,2014-10-05 02:36:15,18,00FFFF00050A00010FE0222D05B004D50519
6,2014-10-05 02:36:37,18,00FFFF00080A00010FFF230504FC04D80524
7,2014-10-05 02:36:37,18,00FFFF00060A00010FAC21F105DA04DD0533
8,2014-10-05 02:40:25,18,00FFFF00070A00010FFF225505D204CB052D
9,2014-10-05 02:40:26,18,00FFFF00010A00010FFF22EA052C04D30516
10,2014-10-05 02:40:45,18,00FFFF00040A00010FFF234A04DA04D30526
11,2014-10-05 02:40:46,18,00FFFF00030A00010FFF1EDA08F70416048E
12,2014-10-05 02:40:47,18,00FFFF00020A00010FE1240304A604CB0525
13,2014-10-05 02:40:56,18,00FFFF00090A00010FFF2329054804E70527
14,2014-10-05 02:41:15,18,00FFFF00050A00010FE022DD055A04E10521
15,2014-10-05 02:41:37,18,00FFFF00080A00010FFF239C04F904D30520
16,2014-10-05 02:41:37,18,00FFFF00060A00010FAD22AE05AB04DB0532
17,2014-10-05 02:45:25,18,00FFFF00070A00010FFF22CC057C04C80527
18,2014-10-05 02:45:26,18,00FFFF00010A00010FFF2342052204D20518
19,2014-10-05 02:45:45,18,00FFFF00040A00010FFF23FB04D004CB051C
20,2014-10-05 02:45:46,18,00FFFF00030A00010FFF1F2808D10415048C
21,2014-10-05 02:45:47,18,00FFFF00020A00010FE12459049404BF0511
22,2014-10-05 02:45:56,18,00FFFF00090A00010FFF23BD044404DC0522
23,2014-10-05 02:46:15,18,00FFFF00050A00010FE2240004E804DC0525
24,2014-10-05 02:46:37,18,00FFFF00080A00010FFF243904AF04D20520
25,2014-10-05 02:46:37,18,00FFFF00060A00010FAA23A0052C04D90535
26,2014-10-05 02:50:25,18,00FFFF00070A00010FFF23C6053F04BD051C
27,2014-10-05 02:50:26,18,00FFFF00010A00010FFF239004D104B80502
28,2014-10-05 02:50:45,18,00FFFF00040A00010FFF24C9045804DC052A
29,2014-10-05 02:50:46,18,00FFFF00030A00010FFF1F7F089504140488
30,2014-10-05 02:50:47,18,00FFFF00020A00010FE22434047A04B90511
31,2014-10-05 02:50:56,18,00FFFF00090A00010FFF2454048004E30520
32,2014-10-05 02:51:15,18,00FFFF00050A00010FE1247B04B204D00518
33,2014-10-05 02:51:37,18,00FFFF00080A00010FFF24DF048404C60514
34,2014-10-05 02:51:37,18,00FFFF00060A00010FAB246104D004D2052F
35,2014-10-05 02:55:25,18,00FFFF00070A00010FFF23FE049004B70515
36,2014-10-05 02:55:26,18,00FFFF00010A00010FFF2307055404B304F5
37,2014-10-05 02:55:45,18,00FFFF00040A00010FFF2516044204AC04FF
38,2014-10-05 02:55:46,18,00FFFF00030A00010FFF1FBB084404100481
39,2014-10-05 02:55:47,18,00FFFF00020A00010FE22380050A04AC04F7
